FAILURE_TYPE,DATE,POTENTIAL_PRICE,POTENTIAL_DATE
Low,2023-12-04,4234,2025-02-12
High,2024-04-21,4234,2024-07-25
Low,2023-11-01,7234,2024-11-07
Critical,2024-01-27,8053,2025-03-24
High,2024-03-19,735,2024-07-23
Mild,2023-11-12,4971,2024-08-26
High,2023-11-01,3397,2024-07-06
Low,2024-03-17,5585,2024-12-19
Mild,2023-12-04,9033,2024-06-24
Low,2024-04-12,3023,2025-01-14
Mild,2024-02-21,6031,2024-10-27
Low,2024-02-02,8122,2025-01-08
Low,2024-01-11,2485,2025-03-12
High,2024-02-16,970,2025-01-28
Mild,2023-11-28,8449,2024-08-17
High,2024-04-19,2774,2024-10-16
Mild,2023-11-23,3422,2024-07-21
Mild,2024-01-31,9503,2025-04-01
Mild,2024-04-10,1128,2024-07-30
Low,2023-10-15,6814,2024-07-27
Critical,2023-11-02,8919,2024-11-18
High,2023-10-25,8410,2024-05-18
High,2024-03-17,8054,2025-01-29
Critical,2023-12-06,711,2024-07-08
High,2023-11-05,5708,2024-07-27
Critical,2024-02-10,2219,2024-10-17
Critical,2023-11-06,6605,2024-05-04
Low,2024-04-15,5409,2024-08-31
Mild,2024-04-18,3102,2025-01-30
Critical,2023-10-27,6183,2024-06-11
High,2023-11-04,6930,2025-01-05
Critical,2024-02-02,7509,2024-08-18
Low,2024-04-03,1339,2024-11-05
Mild,2024-04-27,6211,2025-02-25
High,2023-12-26,3449,2024-11-16
Critical,2023-10-30,975,2024-08-12
High,2023-12-19,706,2024-07-26
Mild,2024-03-14,4050,2024-12-28
Mild,2024-01-09,8744,2024-06-09
High,2024-01-23,9715,2024-11-26
High,2023-11-17,7531,2024-07-03
Critical,2023-11-14,2698,2024-05-05
Low,2024-04-13,13,2025-01-20
Mild,2023-12-24,8021,2024-09-14
High,2023-10-21,5427,2024-10-03
Low,2023-12-04,8600,2025-03-24
Mild,2023-10-27,8354,2025-04-20
Mild,2023-10-17,4583,2024-10-12
Low,2023-12-21,6432,2024-12-24
High,2024-04-17,2645,2024-11-10
Critical,2024-04-03,560,2024-06-04
Mild,2024-01-09,1184,2024-09-01
Low,2024-03-18,7775,2024-05-02
Mild,2023-10-29,4455,2025-02-11
Low,2023-10-11,1403,2024-12-29
Low,2024-01-10,1160,2024-09-21
High,2023-12-07,9905,2024-11-03
Critical,2023-10-15,5468,2024-08-15
Mild,2023-12-29,8896,2024-06-08
High,2023-11-15,2213,2025-01-22
Critical,2024-01-17,9744,2025-03-20
Low,2024-03-15,5449,2025-01-31
Mild,2024-03-21,6148,2024-05-12
High,2023-11-10,2474,2025-03-11
Critical,2023-10-14,5800,2024-09-18
Low,2024-01-23,2756,2024-05-04
Critical,2024-04-07,539,2025-01-26
Low,2024-02-27,6385,2024-12-30
Critical,2023-12-22,1995,2025-02-17
Mild,2024-02-04,8473,2025-03-01
Critical,2023-11-24,3328,2024-05-03
Critical,2023-10-24,1755,2024-05-04
Mild,2023-11-22,4600,2024-06-08
Critical,2023-10-21,9119,2024-10-09
Mild,2024-03-13,6799,2025-01-06
Critical,2024-01-28,4885,2024-08-09
Low,2023-11-19,1462,2025-02-26
Mild,2023-10-12,7843,2024-07-18
Low,2023-11-26,6676,2024-07-21
High,2023-11-29,4185,2024-12-06
High,2023-12-01,6201,2025-04-06
Low,2024-01-31,6210,2024-11-20
High,2023-11-24,4573,2025-02-11
Critical,2024-04-06,7150,2024-09-09
Critical,2024-02-28,739,2024-08-25
Low,2024-04-27,7847,2025-03-05
Low,2024-01-29,9770,2025-02-16
Critical,2023-11-05,4623,2025-02-08
Critical,2024-02-27,2872,2024-09-12
Critical,2024-01-09,2974,2024-08-04
Critical,2023-11-27,5992,2024-08-01
High,2023-11-25,9160,2024-09-10
Critical,2024-02-24,2751,2024-07-29
High,2024-01-06,8427,2024-10-12
Critical,2023-11-19,1479,2024-08-21
High,2024-01-24,309,2024-11-03
High,2023-12-18,8782,2024-09-05
Critical,2023-10-28,4971,2025-04-27
Critical,2023-12-17,4017,2024-08-15
Mild,2024-01-06,7671,2025-03-23
Mild,2024-04-14,6004,2024-11-21
Mild,2024-03-28,272,2025-01-31
Mild,2023-12-28,3083,2024-12-23
Mild,2023-11-11,4486,2024-12-04
High,2023-11-29,8468,2025-04-23
Critical,2024-02-25,2857,2025-04-12
Low,2024-04-24,18,2024-12-17
Low,2024-01-12,6293,2025-01-16
High,2024-01-16,5749,2025-02-16
Critical,2023-10-31,4487,2025-03-18
High,2023-11-10,5351,2025-03-04
High,2024-04-10,9551,2024-07-10
Mild,2023-10-29,3024,2024-11-28
Mild,2023-12-16,6976,2025-02-04
High,2024-01-16,720,2025-03-17
Low,2023-12-20,1498,2024-08-01
Low,2024-01-30,3596,2024-10-18
Critical,2024-02-24,4802,2025-03-08
Critical,2024-03-22,3389,2024-11-08
Mild,2024-04-08,1182,2024-07-11
High,2024-02-02,2421,2025-02-25
Mild,2023-10-11,944,2025-01-19
Mild,2023-10-26,1271,2025-02-22
Mild,2024-03-16,3876,2025-04-09
High,2023-11-29,3569,2024-08-28
Critical,2023-10-14,2666,2024-07-19
Mild,2024-03-20,874,2024-11-14
Mild,2024-01-03,4111,2024-06-04
High,2023-12-16,6505,2024-12-30
Mild,2024-04-03,2534,2024-06-28
High,2024-03-23,4071,2024-12-20
Critical,2024-01-17,9363,2025-01-25
Mild,2023-12-03,7594,2025-03-31
Mild,2023-11-17,2483,2024-05-06
Critical,2024-04-08,3811,2024-05-12
Low,2023-11-29,8296,2024-07-24
High,2023-11-26,7513,2025-04-12
Critical,2024-02-08,9861,2024-10-26
Critical,2023-12-31,102,2024-09-12
Mild,2023-11-01,8250,2024-07-15
High,2023-12-22,1347,2025-04-05
Mild,2023-11-15,7820,2024-05-31
High,2024-02-19,478,2025-02-04
High,2024-01-03,2808,2024-11-25
High,2024-04-18,7438,2025-02-11
Mild,2024-01-28,9755,2025-02-27
Low,2024-02-09,5189,2024-10-24
High,2024-02-06,3146,2025-04-19
Critical,2024-04-23,7910,2024-08-03
High,2024-01-08,3711,2024-05-25
Low,2024-02-27,5682,2024-08-15
Critical,2024-01-23,6333,2025-01-19
Critical,2023-10-25,5831,2025-02-25
Mild,2024-02-28,8071,2024-07-14
Mild,2024-01-01,3535,2024-06-22
Critical,2024-02-09,6128,2025-02-27
Critical,2024-02-09,3196,2024-12-13
Critical,2024-01-28,9325,2024-06-13
Mild,2023-11-03,9611,2024-12-21
Mild,2023-12-19,4929,2024-09-21
Low,2024-01-18,3773,2024-12-22
Critical,2023-12-20,1763,2024-12-24
High,2023-11-12,7914,2025-03-21
Critical,2023-12-30,8004,2025-03-06
Critical,2023-11-07,2820,2024-06-17
Critical,2023-10-14,3587,2024-09-18
Low,2023-11-05,1060,2024-06-26
Mild,2023-11-07,3003,2025-02-05
Low,2024-02-27,3935,2024-08-03
Mild,2023-11-11,6168,2024-09-01
Mild,2023-12-07,759,2024-11-30
Mild,2024-01-01,7438,2025-02-05
Mild,2024-01-21,8294,2024-06-08
High,2023-11-19,7295,2024-12-20
Low,2024-03-30,1213,2024-12-26
Critical,2024-02-08,2647,2024-07-08
Mild,2023-12-15,2817,2025-03-29
Low,2024-01-02,1333,2024-08-05
Mild,2023-11-14,5628,2024-05-05
Low,2024-01-22,9181,2025-01-28
Critical,2023-10-29,4191,2024-09-23
High,2024-04-14,7602,2024-06-21
High,2023-11-22,745,2025-04-24
Mild,2023-10-17,8627,2024-12-09
Low,2023-12-21,7316,2024-08-06
Low,2024-03-06,9370,2025-04-22
Critical,2024-01-30,110,2024-08-06
Low,2024-02-04,439,2024-09-25
Low,2023-11-21,7067,2024-09-24
High,2024-02-06,8330,2024-08-06
Critical,2024-02-15,689,2024-12-16
Mild,2024-03-02,6893,2025-02-20
Mild,2024-01-25,1437,2025-03-21
Low,2023-10-22,8566,2025-03-17
High,2024-03-09,414,2024-06-28
Mild,2023-11-23,9353,2024-12-06
High,2023-12-12,575,2024-09-06
Mild,2023-11-09,9678,2024-08-27
High,2024-02-07,8042,2024-10-06
Mild,2023-11-29,5550,2025-01-11
Low,2023-10-20,4529,2025-01-24
High,2024-04-08,9896,2025-04-02
High,2024-01-03,9040,2024-08-07
Mild,2024-03-31,5044,2024-05-13
Critical,2023-12-08,7410,2025-03-16
High,2023-11-15,5870,2024-07-28
High,2024-01-02,5811,2025-01-04
Critical,2024-01-13,9801,2025-01-08
Low,2023-11-27,1547,2025-03-24
High,2024-02-14,6399,2024-12-20
High,2024-04-22,8992,2024-12-04
Critical,2024-03-15,6121,2024-12-27
High,2024-01-15,1839,2024-05-25
Critical,2024-04-18,4951,2024-07-10
Low,2023-10-29,9182,2024-08-17
Mild,2024-01-12,3905,2025-03-03
Critical,2023-11-13,3682,2024-08-18
Critical,2023-12-12,3302,2024-05-14
Mild,2024-03-13,9253,2025-02-10
Mild,2024-03-12,9247,2024-08-31
Low,2024-02-09,9719,2024-10-21
High,2023-10-19,3600,2025-04-22
Low,2024-03-15,425,2024-08-28
Mild,2024-02-06,386,2024-10-30
Low,2024-03-26,2527,2024-08-06
Critical,2024-02-28,2426,2024-06-15
Critical,2024-01-28,2916,2025-04-23
Mild,2024-03-16,8566,2024-12-05
High,2023-11-01,6055,2025-01-31
High,2024-04-22,9521,2024-06-27
High,2023-11-02,7208,2025-03-11
High,2024-02-19,3257,2025-04-08
Low,2024-02-24,850,2024-08-05
Mild,2024-02-07,4686,2025-02-18
Mild,2023-12-23,2553,2024-04-30
Critical,2024-02-29,9784,2024-07-13
Critical,2023-10-16,9099,2024-09-23
Mild,2023-10-20,9418,2024-09-01
Low,2024-04-10,2804,2024-12-22
High,2024-02-21,8980,2024-07-25
High,2024-03-04,1545,2024-07-03
Critical,2023-10-13,1831,2024-05-28
Mild,2023-11-20,8493,2025-04-03
High,2024-02-16,6050,2025-01-28
High,2024-04-09,1048,2024-10-22
High,2023-11-11,5006,2025-02-07
High,2024-03-04,7524,2025-01-05
Low,2023-12-31,6549,2024-04-30
Low,2023-11-06,6014,2024-05-02
Low,2023-10-20,1951,2024-11-01
Critical,2024-03-06,1190,2024-10-10
Mild,2023-12-16,6520,2024-07-05
Mild,2024-04-13,6605,2024-05-20
Mild,2024-02-13,5953,2025-01-10
Critical,2023-12-07,2532,2025-04-07
Low,2023-11-29,2934,2025-02-21
Critical,2023-12-14,3864,2024-05-23
High,2024-04-13,6296,2024-05-03
Critical,2024-02-13,2661,2024-06-30
Critical,2024-02-24,7877,2025-04-12
High,2024-01-23,9477,2024-07-18
Critical,2023-12-09,6385,2024-06-05
Critical,2024-03-10,10400,2025-02-08
High,2023-12-21,7968,2025-02-27
High,2023-12-22,4176,2024-09-25
Low,2024-03-30,340,2025-02-08
Low,2024-03-26,5747,2024-07-15
High,2023-12-09,938,2024-08-15
Critical,2024-03-13,5877,2024-05-23
High,2023-12-15,3952,2025-04-12
Critical,2023-11-15,4389,2024-05-02
Critical,2023-10-18,3703,2025-02-23
Low,2024-04-17,9576,2024-07-16
Critical,2024-03-12,10043,2025-01-02
High,2024-01-19,9141,2024-11-22
High,2023-12-01,2529,2025-01-30
Mild,2024-02-22,6978,2025-04-21
Low,2024-01-11,0,2025-03-20
Critical,2024-03-28,5458,2024-09-28
Mild,2024-03-12,11521,2024-05-25
Critical,2023-11-03,1798,2024-12-30
Mild,2024-01-14,2894,2025-02-18
Low,2023-12-16,4402,2024-12-08
High,2023-11-01,619,2024-09-02
Critical,2023-10-11,11421,2025-02-25
Mild,2024-01-23,4876,2025-03-06
Critical,2024-01-06,3806,2024-05-17
Mild,2023-12-29,7581,2025-01-17
Critical,2023-12-18,6282,2024-06-14
High,2024-02-14,3663,2024-10-21
Critical,2024-03-27,1594,2024-05-30
High,2023-11-04,10170,2025-03-25
High,2023-11-20,3138,2024-11-20
Mild,2024-02-04,9908,2025-01-09
High,2024-03-27,9074,2024-08-08
Low,2023-10-14,4400,2024-05-17
Mild,2024-03-11,7109,2024-06-25
Low,2023-10-28,6630,2024-05-29
Mild,2024-03-03,9003,2025-02-15
Critical,2024-04-21,6675,2025-01-10
High,2024-01-08,3676,2024-05-18
Critical,2023-11-06,891,2024-12-13
Mild,2024-01-29,7655,2024-08-28
Mild,2023-11-19,946,2025-02-16
Mild,2023-11-25,0,2024-11-08
Critical,2023-12-26,7787,2024-09-27
Mild,2024-02-14,3386,2024-09-01
Critical,2024-01-13,1130,2024-12-31
Critical,2024-01-06,6880,2024-06-10
High,2023-11-27,1793,2024-08-03
High,2023-12-25,5715,2024-08-22
High,2023-11-02,3637,2025-03-16
Critical,2024-01-12,2440,2025-02-13
Critical,2024-01-11,6856,2024-06-08
Critical,2024-04-20,5920,2024-06-24
Critical,2024-03-13,5714,2024-07-14
High,2024-01-01,3263,2025-01-14
Low,2024-04-18,6214,2024-07-22
Low,2023-12-25,10220,2024-08-15
Low,2023-10-23,4231,2024-10-24
Critical,2024-02-01,3609,2024-05-20
Mild,2023-10-26,5541,2024-12-12
Critical,2024-01-27,6220,2024-12-23
Low,2024-02-26,2088,2024-05-24
Low,2024-04-07,3361,2024-10-08
Critical,2024-01-07,8472,2025-01-19
Critical,2023-11-16,973,2024-11-17
Critical,2023-12-31,1756,2024-11-12
Mild,2024-03-09,1601,2024-11-25
High,2023-10-25,5403,2024-08-08
Critical,2024-03-09,10084,2024-06-29
Critical,2024-04-21,8777,2024-12-21
Low,2024-04-03,853,2024-10-10
Low,2024-02-24,10168,2024-09-09
Low,2024-02-28,3612,2024-06-22
Mild,2023-12-09,2720,2024-12-20
Low,2023-10-11,4318,2025-04-16
Low,2024-01-17,6758,2024-12-12
Mild,2024-01-02,7122,2024-09-18
Critical,2024-03-29,5708,2025-03-16
Low,2024-03-19,1561,2025-01-19
Mild,2024-03-04,2496,2024-10-06
Critical,2024-03-30,2240,2025-01-26
Mild,2024-01-26,7987,2025-01-20
Critical,2023-10-16,8716,2024-09-02
Low,2023-11-07,7167,2025-02-11
Low,2023-11-15,13589,2024-06-25
Mild,2023-12-07,8830,2024-06-20
Critical,2023-12-31,6622,2024-08-25
Low,2023-12-07,5664,2024-07-25
